"","CRN","all_time","all_days","Section","Seats","course_name","format.time","has.tba"
"622",35194,"7:30 - 8:50 AM|4:10 - 7:00 PM|6:10 - 7:00 PM","TR|T|M","B10",1,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#T 4:10 - 7:00 PM#M 6:10 - 7:00 PM",0
"623",35195,"7:30 - 8:50 AM|4:10 - 7:00 PM|7:10 - 8:00 PM","TR|T|M","B11",5,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#T 4:10 - 7:00 PM#M 7:10 - 8:00 PM",0
"624",35196,"7:30 - 8:50 AM|3:10 - 4:00 PM|7:10 - 10:00 PM","TR|M|T","B12",7,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#M 3:10 - 4:00 PM#T 7:10 - 10:00 PM",0
"625",35197,"4:10 - 5:00 PM|7:10 - 10:00 PM|7:30 - 8:50 AM","W|T|TR","B13",9,"CHE 002C","W 4:10 - 5:00 PM#T 7:10 - 10:00 PM#T 7:30 - 8:50 AM#R 7:30 - 8:50 AM",0
"626",35198,"7:30 - 8:50 AM|9:00 - 9:50 AM|7:10 - 10:00 PM","TR|M|T","B14",7,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#M 9:00 - 9:50 AM#T 7:10 - 10:00 PM",0
"627",35199,"7:30 - 8:50 AM|4:10 - 5:00 PM|4:10 - 7:00 PM","TR|M|W","B15",0,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#M 4:10 - 5:00 PM#W 4:10 - 7:00 PM",0
"628",35200,"7:30 - 8:50 AM|10:00 - 10:50 AM|4:10 - 7:00 PM","TR|F|W","B16",3,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#F 10:00 - 10:50 AM#W 4:10 - 7:00 PM",0
"629",35201,"7:30 - 8:50 AM|4:10 - 7:00 PM|5:10 - 6:00 PM","TR|W|M","B17",1,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#W 4:10 - 7:00 PM#M 5:10 - 6:00 PM",0
"630",35202,"7:30 - 8:50 AM|1:10 - 4:00 PM|6:10 - 7:00 PM","TR|W|M","B18",7,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#W 1:10 - 4:00 PM#M 6:10 - 7:00 PM",0
"631",35203,"7:30 - 8:50 AM|8:00 - 8:50 AM|1:10 - 4:00 PM","TR|W|W","B19",0,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#W 8:00 - 8:50 AM#W 1:10 - 4:00 PM",0
"632",35204,"7:30 - 8:50 AM|10:00 - 10:50 AM|7:10 - 10:00 PM","TR|R|W","B20",0,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#R 10:00 - 10:50 AM#W 7:10 - 10:00 PM",0
"633",35205,"7:30 - 8:50 AM|8:00 - 8:50 AM|7:10 - 10:00 PM","TR|F|W","B21",0,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#F 8:00 - 8:50 AM#W 7:10 - 10:00 PM",0
"634",35206,"7:30 - 8:50 AM|TBA","TR|NA","BRO",13,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM",1
"635",35207,"10:00 - 10:50 AM|4:10 - 7:00 PM|5:10 - 6:00 PM","MWF|M|R","C01",0,"CHE 002C","M 10:00 - 10:50 AM#W 10:00 - 10:50 AM#F 10:00 - 10:50 AM#M 4:10 - 7:00 PM#R 5:10 - 6:00 PM",0
"636",35208,"10:00 - 10:50 AM|4:10 - 7:00 PM|7:10 - 8:00 PM","MWF|M|T","C02",0,"CHE 002C","M 10:00 - 10:50 AM#W 10:00 - 10:50 AM#F 10:00 - 10:50 AM#M 4:10 - 7:00 PM#T 7:10 - 8:00 PM",0
"637",35209,"10:00 - 10:50 AM|6:10 - 7:00 PM|7:10 - 10:00 PM","MWF|R|M","C03",0,"CHE 002C","M 10:00 - 10:50 AM#W 10:00 - 10:50 AM#F 10:00 - 10:50 AM#R 6:10 - 7:00 PM#M 7:10 - 10:00 PM",0
"638",35210,"10:00 - 10:50 AM|7:10 - 10:00 PM|7:10 - 8:00 PM","MWF|M|T","C04",0,"CHE 002C","M 10:00 - 10:50 AM#W 10:00 - 10:50 AM#F 10:00 - 10:50 AM#M 7:10 - 10:00 PM#T 7:10 - 8:00 PM",0
