"","CRN","Time","Days","SEC","Seats","Course Location"
"5596","55492","TBA",NA,"A07","0","PHY 009AREMASY TBA"
"5597","55493","10:30 - 11:50 AM","TR","B01","0","PHY 009AREMOTE TBA"
"5598","55493","2:10 - 3:00 PM","T","B01","0","PHY 009AREMOTE TBA"
"5599","55493","TBA",NA,"B01","0","PHY 009AREMASY TBA"
"5600","55494","10:30 - 11:50 AM","TR","B02","0","PHY 009AREMOTE TBA"
"5601","55494","3:10 - 4:00 PM","T","B02","0","PHY 009AREMOTE TBA"
"5602","55494","TBA",NA,"B02","0","PHY 009AREMASY TBA"
"5603","55495","10:30 - 11:50 AM","TR","B03","0","PHY 009AREMOTE TBA"
"5604","55495","4:10 - 5:00 PM","T","B03","0","PHY 009AREMOTE TBA"
"5605","55495","TBA",NA,"B03","0","PHY 009AREMASY TBA"
"5606","55496","10:30 - 11:50 AM","TR","B04","0","PHY 009AREMOTE TBA"
"5607","55496","5:10 - 6:00 PM","T","B04","0","PHY 009AREMOTE TBA"
"5608","55496","TBA",NA,"B04","0","PHY 009AREMASY TBA"
"5609","55497","10:30 - 11:50 AM","TR","B05","0","PHY 009AREMOTE TBA"
"5610","55497","5:10 - 6:00 PM","W","B05","0","PHY 009AREMOTE TBA"
"5611","55497","TBA",NA,"B05","0","PHY 009AREMASY TBA"
"5612","55498","10:30 - 11:50 AM","TR","B06","0","PHY 009AREMOTE TBA"
"5613","55498","6:10 - 7:00 PM","W","B06","0","PHY 009AREMOTE TBA"
"5614","55498","TBA",NA,"B06","0","PHY 009AREMASY TBA"
"5615","55499","10:30 - 11:50 AM","TR","B07","0","PHY 009AREMOTE TBA"
"5616","55499","8:10 - 9:00 PM","W","B07","0","PHY 009AREMOTE TBA"
"5617","55499","TBA",NA,"B07","0","PHY 009AREMASY TBA"
"5618","55500","10:30 - 11:50 AM","TR","C01","0","PHY 009AREMOTE TBA"
"5619","55500","2:10 - 3:00 PM","T","C01","0","PHY 009AREMOTE TBA"
"5620","55500","TBA",NA,"C01","0","PHY 009AREMASY TBA"
"5621","55501","10:30 - 11:50 AM","TR","C02","0","PHY 009AREMOTE TBA"
"5622","55501","3:10 - 4:00 PM","T","C02","0","PHY 009AREMOTE TBA"
"5623","55501","TBA",NA,"C02","0","PHY 009AREMASY TBA"
"5624","55502","10:30 - 11:50 AM","TR","C03","0","PHY 009AREMOTE TBA"
"5625","55502","4:10 - 5:00 PM","T","C03","0","PHY 009AREMOTE TBA"
"5626","55502","TBA",NA,"C03","0","PHY 009AREMASY TBA"
"5627","55503","10:30 - 11:50 AM","TR","C04","0","PHY 009AREMOTE TBA"
"5628","55503","5:10 - 6:00 PM","T","C04","0","PHY 009AREMOTE TBA"
"5629","55503","TBA",NA,"C04","0","PHY 009AREMASY TBA"
"5630","55504","10:00 - 10:50 AM","W","C05","0","PHY 009AREMOTE TBA"
"5631","55504","10:30 - 11:50 AM","TR","C05","0","PHY 009AREMOTE TBA"
"5632","55504","TBA",NA,"C05","0","PHY 009AREMASY TBA"
"5633","55505","10:30 - 11:50 AM","TR","C06","0","PHY 009AREMOTE TBA"
"5634","55505","2:10 - 3:00 PM","W","C06","0","PHY 009AREMOTE TBA"
"5635","55505","TBA",NA,"C06","0","PHY 009AREMASY TBA"
"5636","55506","10:30 - 11:50 AM","TR","C07","0","PHY 009AREMOTE TBA"
"5637","55506","3:10 - 4:00 PM","W","C07","0","PHY 009AREMOTE TBA"
"5638","55506","TBA",NA,"C07","0","PHY 009AREMASY TBA"
"5639","55507","3:10 - 4:00 PM","W","D01","3","PHY 009AREMOTE TBA"
"5640","55507","TBA",NA,"D01","3","PHY 009AREMASY TBA"
"5641","55507","12:10 - 1:30 PM","TR","D01","3","PHY 009AREMOTE TBA"
"5642","55508","12:10 - 1:30 PM","TR","D02","0","PHY 009AREMOTE TBA"
"5643","55508","4:10 - 5:00 PM","W","D02","0","PHY 009AREMOTE TBA"
"5644","55508","TBA",NA,"D02","0","PHY 009AREMASY TBA"
"5645","55509","12:10 - 1:30 PM","TR","D03","0","PHY 009AREMOTE TBA"
"5646","55509","5:10 - 6:00 PM","W","D03","0","PHY 009AREMOTE TBA"
"5647","55509","TBA",NA,"D03","0","PHY 009AREMASY TBA"
"5648","55510","12:10 - 1:30 PM","TR","D04","16","PHY 009AREMOTE TBA"
"5649","55510","5:10 - 6:00 PM","T","D04","16","PHY 009AREMOTE TBA"
"5650","55510","TBA",NA,"D04","16","PHY 009AREMASY TBA"
"5651","55511","12:10 - 1:30 PM","TR","D05","10","PHY 009AREMOTE TBA"
"5652","55511","6:10 - 7:00 PM","T","D05","10","PHY 009AREMOTE TBA"
"5653","55511","TBA",NA,"D05","10","PHY 009AREMASY TBA"
"5654","55512","12:10 - 1:30 PM","TR","D06","14","PHY 009AREMOTE TBA"
