"","X1","CRN","Time","Days","SEC","Seats","Course Location","course_name"
"3365",3365,42907,"3:10 - 4:00 PM","R","A02",8,"ESM 121REMOTE TBA","ESM 121"
"3366",3366,42908,"5:10 - 6:00 PM","R","A03",8,"ESM 121REMOTE TBA","ESM 121"
"3367",3367,42908,"4:10 - 5:00 PM","MW","A03",8,"ESM 121REMOTE TBA","ESM 121"
"3368",3368,42941,"12:10 - 2:00 PM","R","001",0,"ESM 195REMOTE TBA","ESM 195"
"3369",3369,42942,"12:10 - 2:00 PM","F","002",0,"ESM 195REMOTE TBA","ESM 195"
"3370",3370,42989,"2:10 - 3:30 PM","MW","001",0,"ESP 101REMOTE TBA","ESP 101"
"3371",3371,42989,"3:40 - 4:00 PM","MW","001",0,"ESP 101REMOTE TBA","ESP 101"
"3372",3372,42990,"4:10 - 5:00 PM","M","001",-5,"ESP 111REMOTE TBA","ESP 111"
"3373",3373,42991,"TBA",NA,"A01",0,"ESP 116NTBA","ESP 116N"
"3374",3374,42991,"9:00 - 10:20 AM","TR","A01",0,"ESP 116NREMOTE TBA","ESP 116N"
"3375",3375,42991,"1:10 - 4:00 PM","W","A01",0,"ESP 116NREMOTE TBA","ESP 116N"
"3376",3376,42992,"TBA",NA,"A02",0,"ESP 116NTBA","ESP 116N"
"3377",3377,42992,"4:10 - 7:00 PM","M","A02",0,"ESP 116NREMOTE TBA","ESP 116N"
"3378",3378,42992,"9:00 - 10:20 AM","TR","A02",0,"ESP 116NREMOTE TBA","ESP 116N"
"3379",3379,42993,"9:00 - 10:20 AM","TR","A03",0,"ESP 116NREMOTE TBA","ESP 116N"
"3380",3380,42993,"1:10 - 4:00 PM","M","A03",0,"ESP 116NREMOTE TBA","ESP 116N"
"3381",3381,42993,"TBA",NA,"A03",0,"ESP 116NTBA","ESP 116N"
"3382",3382,42994,"1:10 - 5:00 PM","R","001",0,"ESP 123OFFCAM","ESP 123"
"3383",3383,42994,"1:10 - 5:00 PM","T","001",0,"ESP 123REMOTE TBA","ESP 123"
"3384",3384,42996,"12:10 - 1:00 PM","W","A01",1,"ESP 151REMOTE TBA","ESP 151"
"3385",3385,42996,"11:00 - 11:50 AM","MWF","A01",1,"ESP 151REMOTE TBA","ESP 151"
"3386",3386,42997,"1:10 - 2:00 PM","W","A02",10,"ESP 151REMOTE TBA","ESP 151"
"3387",3387,42997,"11:00 - 11:50 AM","MWF","A02",10,"ESP 151REMOTE TBA","ESP 151"
"3388",3388,42998,"11:00 - 11:50 AM","MWF","A03",16,"ESP 151REMOTE TBA","ESP 151"
"3389",3389,42998,"2:10 - 3:00 PM","W","A03",16,"ESP 151REMOTE TBA","ESP 151"
"3390",3390,42999,"2:10 - 6:00 PM","W","001",4,"ESP 151LREMOTE TBA","ESP 151L"
"3391",3391,42999,"12:10 - 1:00 PM","M","001",4,"ESP 151LREMOTE TBA","ESP 151L"
"3392",3392,42999,"1:10 - 5:00 PM","M","001",4,"ESP 151LREMOTE TBA","ESP 151L"
"3393",3393,43000,"1:10 - 2:00 PM","W","A01",0,"ESP 160TBA","ESP 160"
"3394",3394,43000,"9:00 - 10:20 AM","TR","A01",0,"ESP 160REMOTE TBA","ESP 160"
"3395",3395,43001,"2:10 - 3:00 PM","W","A02",0,"ESP 160TBA","ESP 160"
"3396",3396,43001,"9:00 - 10:20 AM","TR","A02",0,"ESP 160REMOTE TBA","ESP 160"
"3397",3397,43002,"9:00 - 10:20 AM","TR","A03",0,"ESP 160REMOTE TBA","ESP 160"
"3398",3398,43002,"3:10 - 4:00 PM","W","A03",0,"ESP 160REMOTE TBA","ESP 160"
"3399",3399,43003,"9:00 - 10:20 AM","TR","A04",11,"ESP 160REMOTE TBA","ESP 160"
"3400",3400,43003,"4:10 - 5:00 PM","W","A04",11,"ESP 160REMOTE TBA","ESP 160"
"3401",3401,43004,"9:00 - 10:20 AM","TR","A05",2,"ESP 160REMOTE TBA","ESP 160"
"3402",3402,43004,"5:10 - 6:00 PM","W","A05",2,"ESP 160REMOTE TBA","ESP 160"
"3403",3403,43005,"9:00 - 9:50 AM","F","A01",0,"ESP 161REMOTE TBA","ESP 161"
"3404",3404,43005,"6:10 - 7:30 PM","MW","A01",0,"ESP 161REMOTE TBA","ESP 161"
"3405",3405,43006,"10:00 - 10:50 AM","F","A02",0,"ESP 161REMOTE TBA","ESP 161"
"3406",3406,43006,"6:10 - 7:30 PM","MW","A02",0,"ESP 161REMOTE TBA","ESP 161"
"3407",3407,43007,"11:00 - 11:50 AM","F","A03",0,"ESP 161REMOTE TBA","ESP 161"
"3408",3408,43007,"6:10 - 7:30 PM","MW","A03",0,"ESP 161REMOTE TBA","ESP 161"
"3409",3409,43008,"6:10 - 7:30 PM","MW","A04",0,"ESP 161REMOTE TBA","ESP 161"
"3410",3410,43008,"12:10 - 1:00 PM","F","A04",0,"ESP 161REMOTE TBA","ESP 161"
"3411",3411,43009,"6:10 - 7:30 PM","MW","A05",0,"ESP 161REMOTE TBA","ESP 161"
"3412",3412,43009,"1:10 - 2:00 PM","F","A05",0,"ESP 161REMOTE TBA","ESP 161"
"3413",3413,43010,"6:10 - 7:30 PM","MW","A06",0,"ESP 161REMOTE TBA","ESP 161"
"3414",3414,43010,"2:10 - 3:00 PM","F","A06",0,"ESP 161REMOTE TBA","ESP 161"
"3415",3415,62409,"3:10 - 4:30 PM","TR","001",0,"ESP 165REMOTE TBA","ESP 165"
"3416",3416,43014,"12:10 - 1:30 PM","TR","A01",0,"ESP 171REMOTE TBA","ESP 171"
"3417",3417,43014,"9:00 - 9:50 AM","W","A01",0,"ESP 171REMOTE TBA","ESP 171"
"3418",3418,43015,"10:00 - 10:50 AM","W","A02",0,"ESP 171TBA","ESP 171"
"3419",3419,43015,"12:10 - 1:30 PM","TR","A02",0,"ESP 171REMOTE TBA","ESP 171"
